ID_NEWLAND,Area(ha),D_Co2_T/ha,O_SOC_Tm/h,O_Tre_Tm/h,O_Co2_Tot,B_Co2_%,O_PBF_Tm/h,O_Liv_Tm/h,O_NPP_TOT,D_PBF_Tm/h,D_Liv_Tm/h,D_NPP_TOT,B_NPP_%,x_coord,y_coord
"0","0.6042296370","114.201","0.028933080037435","0.000","0.018","0.000261","26.742151","0.000000","16.158400","3.071800","0.000","1.856070","8.7057","530573.4594","4753773.9210"
"1","17.1394872500","114.201","0.028949598816858","0.000","0.496","0.000253","25.043946","0.000000","429.240400","3.071800","0.000","52.649080","8.1529","530461.8803","4753407.2860"
"5","1.9964661930","114.201","0.028936684608459","0.000","0.058","0.000254","0.000000","1.853800","3.698171","0.000000","14.735","29.396000","0.1258","530227.3574","4753161.4090"
"8","0.9060038660","114.201","0.028934314846992","0.000","0.026","0.000251","0.000000","1.853800","1.678243","0.000000","14.735","13.340000","0.1258","530181.3170","4753276.9490"
"9","0.1590730190","114.201","0.028713591981416","0.000","0.005","0.000275","7.020675","0.000000","1.116800","3.071800","0.000","0.488640","2.2855","527933.5464","4753309.1370"
"10","0.1330726920","114.201","0.000000000000000","0.000","0.000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000","0.000000","0.0000","528038.1364","4753302.3000"
"11","1.1962306960","114.201","0.028706202507019","0.000","0.034","0.000249","7.527143","0.000000","9.004200","3.071800","0.000","3.674580","2.4504","527977.2665","4753273.4150"
"14","0.7364418470","114.201","0.028709827661514","0.000","0.021","0.000250","9.305283","0.000000","6.852800","3.071800","0.000","2.262200","3.0293","527897.0275","4753222.0660"
"19","0.2499390890","114.201","0.028942307767925","0.000","0.007","0.000245","0.000000","1.853801","0.462980","0.000000","14.735","3.680000","0.1258","530543.9302","4753210.3570"
"23","1.0441161420","114.201","0.028702824115753","0.000","0.030","0.000252","10.683294","0.000000","11.154600","3.071800","0.000","3.207320","3.4779","527814.8335","4753140.2160"
"24","0.9968981950","114.201","0.028716680208842","0.000","0.029","0.000255","5.914746","0.000000","5.896400","3.071800","0.000","3.062270","1.9255","527980.7234","4753151.3370"
"25","0.2360929630","114.201","0.028933777371105","0.000","0.007","0.000260","0.000000","1.568599","0.370048","0.000000","12.467","2.941000","0.1258","530463.4301","4753190.2240"
"26","2.0403603840","114.201","0.028693821695116","0.000","0.059","0.000253","8.619556","0.000000","17.587000","3.071800","0.000","6.267580","2.8060","527714.0542","4753123.1820"
"28","0.1840420090","114.201","0.028721630111892","0.000","0.005","0.000238","0.000000","1.853798","0.340908","0.000000","14.737","2.710000","0.1258","528017.5674","4753103.1390"
"34","1.6781064610","114.201","0.028708326419195","0.000","0.048","0.000250","75.367090","0.000000","126.474000","3.071800","0.000","5.154810","24.5351","527867.8772","4753065.4510"
"37","5.6633139700","114.201","0.028987409526652","0.000","0.164","0.000254","4.068890","0.000000","23.043400","3.071800","0.000","17.396570","1.3246","530563.7985","4752868.6280"
"38","0.3782390720","114.201","0.028746803998947","0.000","0.011","0.000255","5.497052","0.000000","2.079200","3.071800","0.000","1.161870","1.7895","527296.5099","4753106.6920"
"39","0.7853094510","114.201","0.028608715534210","0.000","0.023","0.000256","0.000000","1.853800","1.454670","0.000000","14.736","11.563000","0.1258","527114.8629","4753032.7970"
"42","0.1070098980","114.201","0.028720198086308","0.000","0.003","0.000245","0.000000","0.000000","0.000000","0.000000","0.000","0.000000","0.0000","527996.8063","4753099.6200"
"45","1.8680760910","114.201","0.028682523568471","0.000","0.054","0.000253","14.554225","0.000000","27.188400","3.071800","0.000","5.738360","4.7380","527592.2542","4753019.5880"
"46","1.3380758040","114.201","0.028709052562714","0.000","0.038","0.000249","11.220889","0.000000","15.014400","3.071800","0.000","4.110300","3.6529","527258.1387","4753036.8710"
"47","2.0232914120","114.201","0.028742981978825","0.000","0.058","0.000251","10.477878","0.000000","21.199800","3.071800","0.000","6.215150","3.4110","527427.3816","4753006.1940"
